id,datetime,name,summary,url,type,region,gps,latitude,longitude,full_url,url_text
527282,2024-06-01 6:27:06 +02:00,"01 juni 01.00, Misshandel, Kalmar",Man gripen för mishandel.,/aktuellt/handelser/2024/juni/1/01-juni-01.00-misshandel-kalmar/,Misshandel,Kalmar,"56.663445,16.356779",56.663445,16.356779,https://www.polisen.se/aktuellt/handelser/2024/juni/1/01-juni-01.00-misshandel-kalmar/,"En man greps under natten i Kalmar kommun för misshandel mot en kvinna. Misshandeln ska ha skett inomhus, de båda har en relation med varandra. Det finns inga uppgifter om allvarliga personskador."
527278,2024-05-31 22:00:27 +02:00,"31 maj 22.00, Övrigt, Västra Götalands län",Efter klockan 22:00 finns det ingen presstalesperson i tjänst. Frågor från media besvaras av vakthavande befäl,/aktuellt/handelser/2024/maj/31/31-maj-22.00-ovrigt-vastra-gotalands-lan/,Övrigt,Västra Götalands län,"58.252793,13.059643",58.252793,13.059643,https://www.polisen.se/aktuellt/handelser/2024/maj/31/31-maj-22.00-ovrigt-vastra-gotalands-lan/,
527279,2024-05-31 22:00:22 +02:00,"31 maj 22.00, Övrigt, Hallands län",Efter klockan 22:00 finns det ingen presstalesperson i tjänst. Frågor från media besvaras av vakthavande befäl,/aktuellt/handelser/2024/maj/31/31-maj-22.00-ovrigt-hallands-lan/,Övrigt,Hallands län,"56.896681,12.803399",56.896681,12.803399,https://www.polisen.se/aktuellt/handelser/2024/maj/31/31-maj-22.00-ovrigt-hallands-lan/,
527277,2024-05-31 21:19:43 +02:00,"31 maj 18.58, Bråk, Umeå",Anmälan upprättas efter bråk på Teg i Umeå.,/aktuellt/handelser/2024/maj/31/31-maj-18.58-brak-umea/,Bråk,Umeå,"63.825847,20.263035",63.825847,20.263035,https://www.polisen.se/aktuellt/handelser/2024/maj/31/31-maj-18.58-brak-umea/,"Polisen beordras till Teg i Umeå med anledning av ett bråk utomhus. Enligt initiala uppgifter ska flertalet personer ha varit inblandade. På plats framkommer uppgifter om att att en eller eventuellt två personer ska ha blivit utsatta för misshandel. Det finns inga misstänkta i ärendet. En person på platsen omhändertas enligt LOB, lagen om omhändertagande av berusade personer och överlämnas till sjukvård."
527246,2024-05-31 16:50:58 +02:00,"31 maj 15.21, Trafikolycka, Östersund",Trafikolycka i Östersunds centrum.,/aktuellt/handelser/2024/maj/31/31-maj-15.21-trafikolycka-ostersund/,Trafikolycka,Östersund,"63.176683,14.636068",63.176683,14.636068,https://www.polisen.se/aktuellt/handelser/2024/maj/31/31-maj-15.21-trafikolycka-ostersund/,Under eftermiddagen kontaktas polisen gällande en trafikolycka i Östersunds centrum. En bilist ska ha kört in i ett skyltfönster enligt tillgängliga uppgifter. Det finns ingen information om att personskador ska ha uppstått. Polisen har varit på plats och hållit förhör. Olycksorsaken ska utredas. Uppdatering klockan 21:12: Det finns ingen misstanke om brott i samband med olyckan.
527276,2024-05-31 21:03:13 +02:00,"31 maj 17.21, Rattfylleri, Haparanda",Man misstänks för grovt rattfylleri i Haparanda.,/aktuellt/handelser/2024/maj/31/31-maj-17.21-rattfylleri-haparanda/,Rattfylleri,Haparanda,"65.841709,24.127664",65.841709,24.127664,https://www.polisen.se/aktuellt/handelser/2024/maj/31/31-maj-17.21-rattfylleri-haparanda/,"Under eftermiddagen stoppar och kontrollerar polisen en personbil i centrum. Föraren, en man, blåser positivt i sållningsinstrumentet och medtas för vidare provtagning. Anmälan gällande grovt rattfylleri upprättas och mannen får sitt körkort omhändertaget."
527272,2024-05-31 20:29:38 +02:00,"31 maj 20.23, Trafikolycka, Sölvesborg","Fyrhjuling i olycka, Norje.",/aktuellt/handelser/2024/maj/31/31-maj-20.23-trafikolycka-solvesborg/,Trafikolycka,Sölvesborg,"56.053743,14.579688",56.053743,14.579688,https://www.polisen.se/aktuellt/handelser/2024/maj/31/31-maj-20.23-trafikolycka-solvesborg/,"En fyrhjuling har av okänd anledning voltat på Ysanevägen i Norje. Föraren är skadad. Polis, räddningstjänst och ambulans är på väg till platsen. Uppdatering: Föraren har förts med ambulans till sjukhus."
527275,2024-05-31 20:53:25 +02:00,"31 maj 20.53, Våldtäkt, Östersund",Man anhållen misstänkt för våldtäkt.,/aktuellt/handelser/2024/maj/31/31-maj-20.53-valdtakt-ostersund/,Våldtäkt,Östersund,"63.176683,14.636068",63.176683,14.636068,https://www.polisen.se/aktuellt/handelser/2024/maj/31/31-maj-20.53-valdtakt-ostersund/,Under dagen har polisen gripit en man i 35-årsåldern i Östersunds kommun. Han misstänks ha våldtagit en kvinna som han har en relation med. Efter förhör har mannen anhållits av åklagare. Det finns ingen mer information att lämna i ärendet i nuläget.
527268,2024-05-31 20:50:53 +02:00,"31 maj 20.50, Stöld, Oxelösund",Man i 50-årsåldern utsatt för grov stöld.,/aktuellt/handelser/2024/maj/31/31-maj-20.50-stold-oxelosund/,Stöld,Oxelösund,"58.675485,17.074955",58.675485,17.074955,https://www.polisen.se/aktuellt/handelser/2024/maj/31/31-maj-20.50-stold-oxelosund/,"19:19 Polis larmades till centrala Oxelösund med anledning av att en man i 50-årsåldern utsatts för en grov stöld utomhus. En maskerad och okänd gärningsman ska ha dykt upp och ryckt en påse ur handen på målsägande och därefter försvunnit till fots. I påsen fanns målsägandes tillhörigheter. Polis har varit på plats, sökt igenom områden, samt kontrollerat personer av intresse. Men i nuläget har ingen gripits. Ingen person skadades fysiskt i samband med händelsen och inget hot, tillhygge eller våld ska ha använts i samband med stölden."
527274,2024-05-31 20:42:20 +02:00,"31 maj 19.30, Stöld, Sundsvall",Man misstänks för stöld i butik.,/aktuellt/handelser/2024/maj/31/31-maj-19.30-stold-sundsvall/,Stöld,Sundsvall,"62.390811,17.306927",62.390811,17.306927,https://www.polisen.se/aktuellt/handelser/2024/maj/31/31-maj-19.30-stold-sundsvall/,Under kvällen beordras polisen till en matbutik i Birsta utanför Sundsvall. En man misstänks ha stulit en dammsugare. En anmälan om stöld upprättas.
527273,2024-05-31 20:36:39 +02:00,"31 maj 18.20, Trafikbrott, Umeå",A-traktorförare fick ordningsbot för körförbud.,/aktuellt/handelser/2024/maj/31/31-maj-18.20-trafikbrott-umea/,Trafikbrott,Umeå,"63.825847,20.263035",63.825847,20.263035,https://www.polisen.se/aktuellt/handelser/2024/maj/31/31-maj-18.20-trafikbrott-umea/,Under kvällen stoppade och kontrollerade polisen en A-traktor i Umeå. Föraren fick en ordningsbot då fordonet har körförbud. En flygande inspektion utfördes också vilket resulterade i att fordonet måste ombesiktas. En anmälan gällande langning av alkohol upprättas också då alkohol hittades i fordonet.
527264,2024-05-31 20:35:25 +02:00,"31 maj 18.26, Trafikolycka, Kungsbacka",SOS får larm om en singelolycka i centrala Frillesås och kontaktar polisen.,/aktuellt/handelser/2024/maj/31/31-maj-18.26-trafikolycka-kungsbacka/,Trafikolycka,Kungsbacka,"57.487492,12.076193",57.487492,12.076193,https://www.polisen.se/aktuellt/handelser/2024/maj/31/31-maj-18.26-trafikolycka-kungsbacka/,En A-traktor uppges ha fått sladd och kört in i en stenmur. En pojke i övre tonåren har förts till sjukhus med ambulans. Han uppges inte vara allvarligt skadad. Polis har varit på plats och en anmälan om trafikolycka utan misstanke om brott upprättas.
527265,2024-05-31 19:52:35 +02:00,"31 maj 19.40, Trafikolycka, Kungsbacka",På E6 i höjd med Hanhals har en personbil kört in i ett mitträcke.,/aktuellt/handelser/2024/maj/31/31-maj-19.40-trafikolycka-kungsbacka/,Trafikolycka,Kungsbacka,"57.487492,12.076193",57.487492,12.076193,https://www.polisen.se/aktuellt/handelser/2024/maj/31/31-maj-19.40-trafikolycka-kungsbacka/,"Polis, ambulans och räddningstjänst har larmats till platsen. Okänt skadeläge. Uppdatering klockan 20:27 Ingen person uppges ha kommit till fysisk skada i samband med olyckan. Polisen har lämnat platsen. En anmälan om trafikolycka utan misstanke om brott upprättas."
527271,2024-05-31 20:27:21 +02:00,"31 maj 18.31, Fylleri/LOB, Timrå",Berusad man omhändertagen i Söråker.,/aktuellt/handelser/2024/maj/31/31-maj-18.31-fyllerilob-timra/,Fylleri/LOB,Timrå,"62.485456,17.324865",62.485456,17.324865,https://www.polisen.se/aktuellt/handelser/2024/maj/31/31-maj-18.31-fyllerilob-timra/,"Under kvällen kontaktas polisen angående en berusad man som går fram och tillbaka i Söråker, Timrå. Mannen uppges vingla ut i vägbanan. Polisen åker dit och omhändertar honom enligt LOB, lagen om omhändertagande av berusade personer. Han överlämnas till sjukvården."
